Packet,Timestamp_sec,Timestamp_nsec,AnomalyType,Force,Position,Temperature
114,1748508085,111846000,TempSpike,10.214,4.202,33.282
114,1748508085,111846000,PositionalError,10.214,4.202,33.282
115,1748508085,116636000,PositionalError,9.073,4.266,25.193
116,1748508085,121456000,PositionalError,11.848,5.660,24.571
117,1748508085,126147000,PositionalError,11.460,4.083,24.670
118,1748508085,131985000,PositionalError,10.878,4.204,25.427
119,1748508085,136714000,PositionalError,10.989,5.272,24.781
120,1748508085,141448000,PositionalError,11.456,4.913,24.589
121,1748508085,146181000,PositionalError,9.648,5.053,25.149
122,1748508085,152032000,PositionalError,8.633,5.721,24.883
123,1748508085,156715000,PositionalError,10.986,4.379,25.180
124,1748508085,161388000,PositionalError,11.124,4.424,25.378
125,1748508085,167178000,PositionalError,11.890,4.693,24.898
126,1748508085,171876000,PositionalError,10.274,4.031,24.863
127,1748508085,176576000,ForceSpike,19.079,4.217,25.263
127,1748508085,176576000,PositionalError,19.079,4.217,25.263
128,1748508085,181352000,PositionalError,10.706,4.277,24.654
129,1748508085,186072000,PositionalError,11.430,5.574,25.264
130,1748508085,191898000,PositionalError,9.162,4.784,24.683
131,1748508085,196586000,PositionalError,11.895,4.676,24.745
132,1748508085,201339000,PositionalError,10.096,4.796,25.282
133,1748508085,207192000,ForceSpike,19.804,5.989,25.292
133,1748508085,207192000,PositionalError,19.804,5.989,25.292
134,1748508085,211955000,PositionalError,11.640,5.720,24.609
135,1748508085,216627000,PositionalError,10.023,5.656,25.172
136,1748508085,221310000,PositionalError,8.553,5.325,24.557
138,1748508085,231762000,PositionalError,10.911,5.018,24.803
139,1748508085,236724000,PositionalError,8.049,5.044,24.681
141,1748508085,249764000,PositionalError,9.039,4.354,24.853
142,1748508085,272879000,PositionalError,9.517,5.476,24.993
143,1748508085,272889000,PositionalError,9.357,5.605,24.885
144,1748508085,272891000,PositionalError,11.847,4.615,24.525
145,1748508085,272893000,PositionalError,10.677,4.559,24.655
146,1748508085,272895000,PositionalError,11.026,4.641,24.816
147,1748508085,276746000,PositionalError,11.341,5.321,25.064
148,1748508085,281592000,PositionalError,9.941,4.060,24.962
149,1748508085,286451000,PositionalError,9.196,5.071,24.904
150,1748508085,292127000,ForceSpike,17.036,5.146,25.246
150,1748508085,292127000,PositionalError,17.036,5.146,25.246
151,1748508085,297020000,PositionalError,10.963,4.554,25.288
152,1748508085,301728000,PositionalError,11.939,5.101,24.973
153,1748508085,306117000,PositionalError,11.922,4.851,24.525
154,1748508085,311984000,PositionalError,9.617,5.337,24.867
155,1748508085,316671000,PositionalError,8.308,5.018,25.072
156,1748508085,321418000,PositionalError,10.400,4.500,25.476
159,1748508085,336768000,PositionalError,9.337,5.572,25.333
161,1748508085,346174000,PositionalError,8.497,5.410,24.756
162,1748508085,352071000,PositionalError,8.912,4.103,25.267
163,1748508085,356982000,PositionalError,11.139,4.295,24.707
164,1748508085,361782000,PositionalError,10.068,5.751,24.759
165,1748508085,366495000,PositionalError,11.937,4.420,25.029
166,1748508085,371217000,PositionalError,8.371,5.944,25.281
167,1748508085,377044000,PositionalError,8.109,4.711,25.103
168,1748508085,381750000,PositionalError,9.127,5.622,24.579
171,1748508085,396863000,PositionalError,11.217,5.764,24.549
172,1748508085,401569000,TempSpike,10.424,4.431,34.578
172,1748508085,401569000,PositionalError,10.424,4.431,34.578
173,1748508085,406370000,PositionalError,10.851,5.444,24.666
174,1748508085,412182000,PositionalError,9.448,4.389,24.697
175,1748508085,417002000,PositionalError,10.748,4.803,24.885
176,1748508085,421706000,PositionalError,11.551,4.156,25.450
177,1748508085,426415000,PositionalError,10.155,4.566,25.135
178,1748508085,431115000,PositionalError,9.661,4.518,25.022
179,1748508085,436941000,PositionalError,10.304,5.937,25.462
180,1748508085,441634000,PositionalError,8.987,4.522,25.466
181,1748508085,446372000,PositionalError,9.980,4.918,25.123
182,1748508085,452021000,PositionalError,9.309,4.490,25.166
183,1748508085,456761000,TempSpike,10.148,5.567,33.062
183,1748508085,456761000,PositionalError,10.148,5.567,33.062
184,1748508085,461610000,PositionalError,8.981,5.931,25.061
185,1748508085,466311000,PositionalError,9.160,5.242,24.862
186,1748508085,472118000,PositionalError,11.477,4.585,24.614
187,1748508085,476896000,PositionalError,11.916,4.808,25.472
188,1748508085,481157000,ForceSpike,19.869,5.581,24.641
188,1748508085,481157000,PositionalError,19.869,5.581,24.641
189,1748508085,487072000,PositionalError,8.875,5.101,24.566
190,1748508085,491881000,PositionalError,8.224,4.340,25.034
191,1748508085,496601000,TempSpike,10.188,5.315,32.923
191,1748508085,496601000,PositionalError,10.188,5.315,32.923
192,1748508085,501389000,PositionalError,9.583,4.861,24.562
193,1748508085,506079000,TempSpike,8.407,5.999,35.433
193,1748508085,506079000,PositionalError,8.407,5.999,35.433
194,1748508085,512002000,PositionalError,9.638,4.447,25.014
195,1748508085,516667000,PositionalError,9.110,4.536,24.877
196,1748508085,521355000,PositionalError,10.065,4.637,24.743
197,1748508085,527193000,PositionalError,10.368,5.631,24.558
198,1748508085,531879000,PositionalError,10.958,4.908,24.556
199,1748508085,536551000,PositionalError,11.890,4.753,24.698
200,1748508085,541238000,TempSpike,9.990,5.029,34.070
200,1748508085,541238000,PositionalError,9.990,5.029,34.070
201,1748508085,547222000,PositionalError,8.442,4.407,24.978
202,1748508085,551928000,PositionalError,9.882,5.581,24.924
203,1748508085,556608000,PositionalError,9.998,5.825,24.717
204,1748508085,561688000,PositionalError,9.916,4.437,24.589
205,1748508085,566401000,PositionalError,10.582,5.932,24.605
206,1748508085,571113000,PositionalError,9.522,4.481,24.797
207,1748508085,576746000,PositionalError,10.143,4.573,25.341
208,1748508085,581462000,PositionalError,9.721,5.354,24.654
209,1748508085,586172000,TempSpike,9.408,5.106,35.188
209,1748508085,586172000,PositionalError,9.408,5.106,35.188
210,1748508085,591680000,PositionalError,11.561,5.441,25.316
211,1748508085,596399000,PositionalError,10.534,5.265,24.729
212,1748508085,602204000,PositionalError,8.215,4.931,25.279
213,1748508085,606958000,PositionalError,8.615,5.840,25.284
214,1748508085,611641000,PositionalError,11.122,5.696,25.317
215,1748508085,616384000,ForceSpike,19.432,4.278,25.023
215,1748508085,616384000,PositionalError,19.432,4.278,25.023
216,1748508085,621191000,PositionalError,9.750,5.615,24.712
217,1748508085,626989000,PositionalError,10.117,4.586,24.623
218,1748508085,631673000,PositionalError,8.689,4.296,25.076
219,1748508085,636216000,PositionalError,10.711,4.589,24.695
220,1748508085,641802000,PositionalError,9.005,5.515,24.543
221,1748508085,646486000,PositionalError,9.400,5.289,25.054
222,1748508085,651199000,PositionalError,8.229,5.907,24.640
223,1748508085,657038000,PositionalError,11.740,4.340,25.196
224,1748508085,661821000,TempSpike,11.260,4.970,32.424
224,1748508085,661821000,PositionalError,11.260,4.970,32.424
225,1748508085,666254000,PositionalError,8.429,5.178,24.664
226,1748508085,671561000,PositionalError,9.117,4.067,25.261
227,1748508085,676277000,PositionalError,9.991,5.627,25.380
228,1748508085,682090000,PositionalError,10.124,4.913,24.592
229,1748508085,686808000,PositionalError,8.835,5.707,25.486
230,1748508085,691535000,PositionalError,11.777,4.794,25.253
231,1748508085,696287000,PositionalError,9.475,4.349,25.466
232,1748508085,701123000,PositionalError,10.593,5.338,24.807
233,1748508085,706974000,PositionalError,11.091,4.117,24.695
234,1748508085,711813000,PositionalError,8.470,5.875,24.998
235,1748508085,716779000,PositionalError,8.638,5.670,24.981
236,1748508085,721533000,PositionalError,8.874,4.229,24.945
237,1748508085,726243000,PositionalError,10.475,5.435,25.270
238,1748508085,732271000,PositionalError,10.464,4.644,24.537
239,1748508085,736128000,PositionalError,10.464,5.518,24.529
240,1748508085,741607000,PositionalError,10.730,5.727,24.841
241,1748508085,746341000,PositionalError,10.316,4.310,24.799
242,1748508085,752171000,PositionalError,10.181,5.915,24.970
243,1748508085,756931000,ForceSpike,20.071,4.406,24.564
243,1748508085,756931000,PositionalError,20.071,4.406,24.564
244,1748508085,761803000,PositionalError,11.482,5.407,25.164
245,1748508085,766524000,PositionalError,11.411,4.960,24.772
246,1748508085,771245000,PositionalError,10.612,5.671,24.658
247,1748508085,777098000,PositionalError,10.925,4.394,25.070
248,1748508085,781808000,PositionalError,11.052,4.205,24.691
249,1748508085,786506000,PositionalError,8.045,4.225,24.992
251,1748508085,796980000,PositionalError,9.155,4.857,25.294
252,1748508085,801684000,PositionalError,9.388,5.578,24.733
253,1748508085,806285000,TempSpike,11.746,4.916,35.275
253,1748508085,806285000,PositionalError,11.746,4.916,35.275
254,1748508085,812227000,PositionalError,11.988,4.015,25.244
255,1748508085,816976000,PositionalError,8.884,5.097,24.793
256,1748508085,821674000,PositionalError,8.131,5.671,25.362
257,1748508085,826408000,PositionalError,9.170,4.700,25.104
258,1748508085,832273000,ForceSpike,18.611,5.552,24.575
258,1748508085,832273000,PositionalError,18.611,5.552,24.575
259,1748508085,837122000,PositionalError,9.999,4.177,24.973
260,1748508085,841811000,PositionalError,9.465,4.256,24.773
261,1748508085,846044000,PositionalError,8.722,5.870,25.160
262,1748508085,851928000,PositionalError,9.653,4.983,25.443
263,1748508085,856563000,PositionalError,10.206,5.467,25.095
264,1748508085,861356000,PositionalError,8.391,4.534,25.425
265,1748508085,867188000,PositionalError,11.916,4.410,25.454
266,1748508085,871926000,PositionalError,9.409,4.149,24.803
267,1748508085,876621000,PositionalError,10.628,4.264,25.100
268,1748508085,881325000,PositionalError,8.558,4.626,24.624
269,1748508085,887176000,PositionalError,11.253,4.689,24.978
270,1748508085,890762000,PositionalError,11.407,4.543,24.927
271,1748508085,896554000,PositionalError,8.710,4.785,25.045
272,1748508085,901225000,PositionalError,11.049,5.162,25.012
273,1748508085,907040000,PositionalError,10.551,5.694,24.675
274,1748508085,911737000,PositionalError,8.382,4.246,24.709
275,1748508085,916508000,PositionalError,11.919,5.346,24.974
277,1748508085,926982000,PositionalError,11.118,5.231,24.959
278,1748508085,931668000,PositionalError,10.468,5.539,24.934
280,1748508085,941222000,PositionalError,11.266,4.013,25.306
281,1748508085,947153000,ForceSpike,16.459,5.212,25.237
281,1748508085,947153000,PositionalError,16.459,5.212,25.237
282,1748508085,952033000,PositionalError,10.827,5.478,25.434
283,1748508085,956746000,PositionalError,11.881,4.197,25.048
284,1748508085,961307000,PositionalError,9.765,4.966,24.765
285,1748508085,967166000,PositionalError,9.516,5.310,24.917
286,1748508085,972052000,ForceSpike,16.224,4.347,24.888
286,1748508085,972052000,PositionalError,16.224,4.347,24.888
287,1748508085,976866000,PositionalError,8.512,4.701,25.086
288,1748508085,981550000,ForceSpike,18.847,4.792,25.422
288,1748508085,981550000,PositionalError,18.847,4.792,25.422
289,1748508085,986403000,PositionalError,8.831,5.086,24.557
290,1748508085,992242000,PositionalError,8.750,4.962,24.574
292,1748508086,1602000,PositionalError,8.185,4.179,25.337
293,1748508086,6300000,PositionalError,11.712,5.989,24.922
294,1748508086,12154000,TempSpike,10.938,5.396,33.267
294,1748508086,12154000,PositionalError,10.938,5.396,33.267
295,1748508086,16990000,PositionalError,10.022,5.409,24.786
296,1748508086,21708000,PositionalError,8.046,5.132,25.136
297,1748508086,26458000,PositionalError,10.497,5.798,25.253
298,1748508086,31153000,PositionalError,9.159,5.015,24.825
299,1748508086,36984000,PositionalError,10.555,5.505,24.633
300,1748508086,41741000,PositionalError,8.842,4.497,25.026
302,1748508086,52253000,PositionalError,9.052,4.615,24.729
303,1748508086,56947000,PositionalError,11.720,5.996,25.297
304,1748508086,61653000,PositionalError,9.554,4.027,25.012
305,1748508086,66302000,PositionalError,10.410,4.914,25.319
306,1748508086,71230000,TempSpike,10.143,4.765,35.965
306,1748508086,71230000,PositionalError,10.143,4.765,35.965
307,1748508086,77180000,PositionalError,11.852,4.175,25.154
308,1748508086,82070000,PositionalError,8.763,5.764,25.224
310,1748508086,92099000,PositionalError,8.064,4.417,24.780
311,1748508086,96823000,PositionalError,8.479,4.984,25.280
312,1748508086,101514000,PositionalError,10.434,4.657,24.969
313,1748508086,106196000,PositionalError,11.730,4.811,24.666
314,1748508086,111804000,PositionalError,9.383,4.047,25.137
315,1748508086,116618000,PositionalError,11.884,5.503,25.087
316,1748508086,121324000,PositionalError,9.891,5.305,25.064
317,1748508086,126994000,PositionalError,8.743,5.993,25.340
318,1748508086,131710000,PositionalError,11.238,4.589,25.201
319,1748508086,136423000,PositionalError,8.220,4.941,25.407
320,1748508086,142219000,PositionalError,11.780,4.847,24.882
321,1748508086,145808000,PositionalError,10.791,5.685,25.497
322,1748508086,151646000,PositionalError,11.666,5.559,24.566
325,1748508086,166703000,PositionalError,10.397,4.509,25.296
326,1748508086,171412000,PositionalError,10.512,4.786,24.799
327,1748508086,176852000,PositionalError,10.226,4.395,25.153
328,1748508086,181548000,PositionalError,11.152,5.340,24.604
329,1748508086,186260000,PositionalError,9.945,5.711,25.041
330,1748508086,192096000,PositionalError,10.186,5.050,25.174
331,1748508086,196779000,PositionalError,9.909,4.785,24.542
332,1748508086,201484000,PositionalError,11.375,5.024,24.952
333,1748508086,206235000,TempSpike,9.823,4.869,34.395
333,1748508086,206235000,PositionalError,9.823,4.869,34.395
334,1748508086,211036000,ForceSpike,20.883,4.492,25.447
334,1748508086,211036000,PositionalError,20.883,4.492,25.447
335,1748508086,216906000,PositionalError,11.544,5.206,24.547
336,1748508086,221602000,PositionalError,10.757,4.429,25.350
337,1748508086,226304000,PositionalError,10.060,5.515,25.452
338,1748508086,232073000,PositionalError,8.206,4.407,24.713
339,1748508086,236762000,PositionalError,11.328,5.904,25.353
340,1748508086,241750000,PositionalError,9.374,4.595,25.069
341,1748508086,246470000,PositionalError,9.888,5.385,24.665
342,1748508086,251158000,PositionalError,8.006,5.668,24.963
343,1748508086,256995000,PositionalError,9.083,4.439,24.933
344,1748508086,261669000,PositionalError,11.292,5.131,24.989
345,1748508086,265930000,PositionalError,8.756,4.616,25.480
346,1748508086,271767000,PositionalError,8.574,5.849,25.070
347,1748508086,276807000,PositionalError,9.819,4.311,24.828
348,1748508086,281519000,PositionalError,8.586,5.414,24.635
349,1748508086,286153000,PositionalError,8.137,4.515,25.077
350,1748508086,292013000,PositionalError,11.357,5.885,25.017
351,1748508086,296777000,PositionalError,11.669,5.679,24.609
352,1748508086,301444000,PositionalError,9.126,5.439,24.866
353,1748508086,307247000,ForceSpike,19.501,5.512,25.489
353,1748508086,307247000,PositionalError,19.501,5.512,25.489
354,1748508086,312054000,PositionalError,10.070,5.438,25.318
355,1748508086,316747000,PositionalError,10.151,5.359,25.460
356,1748508086,321423000,PositionalError,8.003,4.359,24.969
357,1748508086,327210000,PositionalError,10.715,4.738,25.022
358,1748508086,332056000,PositionalError,11.160,5.785,25.266
359,1748508086,336761000,TempSpike,9.162,4.551,35.473
359,1748508086,336761000,PositionalError,9.162,4.551,35.473
360,1748508086,341547000,PositionalError,9.282,5.594,25.402
361,1748508086,346314000,TempSpike,11.464,5.528,35.419
361,1748508086,346314000,PositionalError,11.464,5.528,35.419
362,1748508086,352222000,PositionalError,10.392,4.367,24.889
363,1748508086,356928000,PositionalError,9.967,5.415,24.859
364,1748508086,361640000,ForceSpike,19.637,4.541,25.308
364,1748508086,361640000,PositionalError,19.637,4.541,25.308
365,1748508086,366501000,PositionalError,9.035,4.322,25.152
366,1748508086,371217000,PositionalError,8.477,5.349,25.409
367,1748508086,376982000,PositionalError,9.621,4.505,24.803
368,1748508086,381696000,PositionalError,10.252,4.278,25.059
370,1748508086,392220000,PositionalError,9.473,4.886,25.322
371,1748508086,396938000,PositionalError,9.430,4.307,25.262
373,1748508086,406358000,PositionalError,8.263,4.690,24.664
374,1748508086,412198000,PositionalError,10.352,4.321,24.727
375,1748508086,416956000,PositionalError,10.174,5.292,24.775
376,1748508086,421893000,PositionalError,10.773,5.521,25.084
377,1748508086,426593000,ForceSpike,18.895,4.573,25.445
377,1748508086,426593000,PositionalError,18.895,4.573,25.445
378,1748508086,431205000,ForceSpike,16.829,4.778,25.024
378,1748508086,431205000,PositionalError,16.829,4.778,25.024
380,1748508086,442035000,ForceSpike,19.381,5.782,24.800
380,1748508086,442035000,PositionalError,19.381,5.782,24.800
381,1748508086,446838000,PositionalError,11.013,5.980,25.270
382,1748508086,451536000,ForceSpike,16.619,4.499,25.028
382,1748508086,451536000,PositionalError,16.619,4.499,25.028
383,1748508086,456616000,PositionalError,11.849,4.347,25.255
384,1748508086,461288000,PositionalError,11.966,4.143,25.220
385,1748508086,465960000,PositionalError,11.565,4.981,24.982
386,1748508086,471949000,PositionalError,10.728,4.842,25.299
387,1748508086,476651000,PositionalError,8.628,4.721,25.483
388,1748508086,481379000,PositionalError,8.701,4.630,25.320
389,1748508086,486211000,PositionalError,11.120,4.298,25.477
390,1748508086,492047000,PositionalError,11.575,5.731,24.666
391,1748508086,496768000,PositionalError,8.601,4.348,25.179
393,1748508086,507370000,PositionalError,9.628,5.008,25.487
394,1748508086,511212000,PositionalError,10.924,5.159,24.644
396,1748508086,521666000,PositionalError,8.777,4.214,24.792
397,1748508086,526468000,PositionalError,9.606,4.059,24.678
399,1748508086,536947000,PositionalError,9.281,4.739,24.630
400,1748508086,541656000,PositionalError,9.384,5.838,25.340
401,1748508086,546317000,PositionalError,8.070,5.331,25.292
402,1748508086,552102000,PositionalError,9.391,5.774,24.920
403,1748508086,556768000,TempSpike,8.379,5.901,35.879
403,1748508086,556768000,PositionalError,8.379,5.901,35.879
404,1748508086,561563000,PositionalError,11.992,4.140,25.157
405,1748508086,566272000,PositionalError,11.952,4.603,25.212
406,1748508086,572138000,ForceSpike,17.232,5.345,24.929
406,1748508086,572138000,PositionalError,17.232,5.345,24.929
408,1748508086,581752000,PositionalError,9.297,4.526,24.539
409,1748508086,586465000,PositionalError,10.005,5.173,24.710
410,1748508086,590859000,PositionalError,11.627,5.225,24.910
411,1748508086,596868000,PositionalError,10.164,4.703,24.506
412,1748508086,601553000,PositionalError,11.805,4.001,24.753
413,1748508086,606235000,PositionalError,8.091,5.549,25.260
414,1748508086,612063000,TempSpike,9.105,4.310,35.551
414,1748508086,612063000,PositionalError,9.105,4.310,35.551
415,1748508086,616939000,PositionalError,11.564,4.487,25.209
416,1748508086,621655000,PositionalError,10.076,4.973,25.233
417,1748508086,626336000,PositionalError,9.186,5.948,25.141
418,1748508086,632149000,TempSpike,9.016,5.171,32.781
418,1748508086,632149000,PositionalError,9.016,5.171,32.781
419,1748508086,636890000,PositionalError,11.762,4.692,24.761
420,1748508086,641531000,PositionalError,11.954,5.801,25.301
421,1748508086,646224000,PositionalError,9.803,4.017,25.038
422,1748508086,652037000,PositionalError,8.297,4.123,24.743
423,1748508086,656758000,PositionalError,11.366,4.729,24.571
424,1748508086,661443000,PositionalError,10.882,4.237,25.437
426,1748508086,672049000,PositionalError,11.441,5.785,25.452
427,1748508086,676764000,PositionalError,11.705,5.410,24.942
428,1748508086,681154000,PositionalError,9.952,5.989,25.239
429,1748508086,686052000,PositionalError,11.705,5.507,25.406
430,1748508086,691944000,PositionalError,8.371,4.469,25.148
431,1748508086,696707000,PositionalError,9.478,4.343,24.526
432,1748508086,701438000,ForceSpike,16.757,4.276,25.036
432,1748508086,701438000,PositionalError,16.757,4.276,25.036
433,1748508086,706339000,ForceSpike,20.673,4.174,24.698
433,1748508086,706339000,PositionalError,20.673,4.174,24.698
434,1748508086,711273000,PositionalError,11.682,5.565,24.618
435,1748508086,717063000,PositionalError,11.477,4.978,25.245
437,1748508086,726576000,PositionalError,11.882,5.015,25.351
438,1748508086,731296000,PositionalError,8.226,4.075,24.719
439,1748508086,737182000,PositionalError,9.178,4.665,24.647
440,1748508086,741950000,PositionalError,10.814,5.574,25.133
441,1748508086,746398000,PositionalError,8.919,4.242,25.060
442,1748508086,752291000,PositionalError,10.554,4.222,25.361
444,1748508086,761851000,PositionalError,10.444,4.152,25.368
445,1748508086,766620000,TempSpike,11.776,4.790,34.214
445,1748508086,766620000,PositionalError,11.776,4.790,34.214
446,1748508086,771597000,PositionalError,10.823,4.975,24.971
447,1748508086,776606000,PositionalError,9.343,4.121,25.403
448,1748508086,781383000,PositionalError,8.907,5.360,24.796
